state_cd,route_cd,discontinued,DC_year,new_route_cd,replacement_route,replacement_year,original_route_cd,Flag,DC_reason
35,0019,NO,,,NO,,,,
35,0020,NO,,,NO,,,,
35,0021,NO,,,NO,,,,
35,0022,NO,,,NO,,,,
35,0023,NO,,,NO,,,,
35,0024,NO,,,NO,,,,
35,0025,YES,2004,084,NO,,,,
35,0026,NO,,,NO,,,,
35,0027,NO,,,NO,,,,
35,0028,NO,,,NO,,,,
35,0029,NO,,,NO,,,,
35,0030,YES,1991,077,NO,,,,
35,0031,YES,1990,074,NO,,,,
35,0032,YES,1990,075,NO,,,,
35,0033,NO,,,NO,,,,
35,0034,NO,,,NO,,,,
35,0035,NO,,,NO,,,,
35,0036,NO,,,NO,,,,
35,0037,NO,,,NO,,,,
35,0038,NO,,,NO,,,,
35,0039,NO,,,NO,,,,
35,0040,NO,,,NO,,,,
35,0041,NO,,,NO,,,,
35,0042,NO,,,NO,,,,
35,0043,NO,,,NO,,,,
35,0044,NO,,,NO,,,,
35,0045,NO,,,NO,,,,
35,0046,NO,,,NO,,,,
35,0047,NO,,,NO,,,,
35,0048,NO,,,NO,,,,
35,0049,NO,,,NO,,,,
35,0050,YES,2009,086,NO,,,,
35,0051,NO,,,NO,,,,
35,0052,YES,1990,076,NO,,,,
35,0053,NO,,,NO,,,,
35,0054,NO,,,NO,,,,
35,0055,NO,,,NO,,,,
35,0056,NO,,,NO,,,,
35,0057,NO,,,NO,,,,
35,0058,NO,,,NO,,,,
35,0059,YES,2007,085,NO,,,,
35,0060,NO,,,NO,,,,
35,0061,NO,,,NO,,,,
35,0062,NO,,,NO,,,,
35,0063,NO,,,NO,,,,
35,0064,YES,1977,,NO,,,,
35,0065,NO,,,NO,,,,
35,0066,YES,1992,079,NO,,,,
35,0067,YES,2015,089,NO,,,,
35,0068,NO,,,NO,,,,
35,0069,YES,1992,080,NO,,,,
35,0070,YES,1991,078,NO,,,,
35,0071,YES,1987,081,NO,,,,
35,0072,NO,,,NO,,,,
35,0073,NO,,,YES,1990,008,,
35,0074,NO,,,YES,1990,031,,
35,0075,YES,2014,088,YES,1990,032,,
35,0076,NO,,,YES,1990,052,,
35,0077,NO,,,YES,1990,030,,
35,0078,NO,,,YES,1991,070,,
35,0079,NO,,,YES,1992,066,,
35,0080,YES,1994,,YES,"1983-1988,1992-1993",069,"Never replaced.  069 was active from 1968-1982, but in and out of CZ status.  In 1983, this route was reactivated, but the observer ran an altered route (that never got renumbered at the time) with no birds heard.  It went back into a CZ status from 1984-",
35,0081,NO,,,YES,1987,071,,
35,0082,NO,,,YES,2003,004,,
35,0083,NO,,,YES,2001,009,,
35,0084,NO,,,YES,2004,025,,
35,0085,NO,,,YES,2007,059,,
35,0086,NO,,,YES,2009,050,,
35,0087,NO,,,YES,2010,002,,
35,0088,NO,,,YES,2014,075,,
35,0089,NO,,,YES,2015,067,,
35,0090,NO,,,YES,2020,015,,
44,0001,YES,,,NO,,,This route was never run and deleted from the system,
44,0002,YES,,,NO,,,This route was never run and deleted from the system,
44,0003,NO,,,NO,,,,
44,0004,NO,,,NO,,,,
44,0005,NO,,,NO,,,,
44,0006,NO,,,NO,,,,
44,0007,NO,,,NO,,,,
44,0008,NO,,,NO,,,,
44,0009,NO,,,NO,,,,
44,0010,NO,,,NO,,,,
44,0011,NO,,,NO,,,,
44,0012,NO,,,NO,,,,
44,0013,NO,,,NO,,,,
44,0014,YES,1977,077,NO,,,,
44,0015,NO,,,YES,1969,079,,079 was only run for one year in 1968
44,0016,NO,,,NO,,,,
44,0017,NO,,,NO,,,,
44,0018,NO,,,NO,,,,
44,0019,NO,,,NO,,,,
44,0020,NO,,,NO,,,,
44,0021,NO,,,NO,,,,
44,0022,NO,,,NO,,,,
44,0023,YES,1978,078,NO,,,,
44,0024,NO,,,NO,,,,
44,0025,NO,,,NO,,,,
44,0026,NO,,,NO,,,,
44,0027,NO,,,NO,,,,
44,0028,YES,2005,082,NO,,,,
44,0029,NO,,,NO,,,,
44,0030,NO,,,NO,,,,
44,0031,NO,,,NO,,,,
44,0032,NO,,,NO,,,,
44,0033,NO,,,NO,,,,
44,0034,NO,,,NO,,,,
44,0035,NO,,,NO,,,,
44,0036,NO,,,NO,,,,
44,0037,YES,2009,083,NO,,,,
44,0038,NO,,,NO,,,,
44,0039,NO,,,NO,,,,
44,0040,NO,,,NO,,,,
44,0041,NO,,,NO,,,,
44,0042,NO,,,NO,,,,
44,0043,NO,,,NO,,,,
44,0044,YES,2011,086,NO,,,,
44,0045,YES,2009,084,NO,,,,
44,0046,NO,,,NO,,,,
44,0047,NO,,,NO,,,,
44,0048,NO,,,NO,,,,
44,0049,YES,1976,080,NO,,,,
44,0050,NO,,,NO,,,,
44,0051,NO,,,NO,,,,
44,0052,NO,,,NO,,,,
44,0053,YES,2010,085,NO,,,,
44,0054,NO,,,NO,,,,
44,0055,YES,1989,076,NO,,,,
44,0056,NO,,,NO,,,,
44,0057,YES,2020,089,NO,,,,traffic and safety concerns
44,0058,YES,1979,087,NO,,,,
44,0059,NO,,,NO,,,,
44,0060,NO,,,NO,,,,
44,0061,NO,,,NO,,,,
44,0062,NO,,,NO,,,,
44,0063,NO,,,NO,,,,
44,0064,NO,,,NO,,,,
44,0065,NO,,,NO,,,,
44,0066,NO,,,NO,,,,
44,0067,NO,,,NO,,,,
44,0068,NO,,,NO,,,,
44,0069,NO,,,NO,,,,
44,0070,NO,,,NO,,,,
44,0071,NO,,,NO,,,,
